system:index,Fecha,Hora,Temperatura,.geo
146,2022-04-16,,18.379999999999995,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,2022-04-16,,18.819999999999993,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,2022-04-17,,9.720000000000027,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,2022-04-17,,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,2022-04-18,,11.360000000000014,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,2022-04-18,,14.819999999999993,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,2022-04-19,,-3,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,2022-04-19,,4.069999999999993,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,2022-04-20,,7.3799999999999955,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,2022-04-20,,-0.20999999999997954,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,2022-04-21,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,2022-04-21,,19.70999999999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,2022-04-22,,11.949999999999989,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,2022-04-22,,18.810000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,2022-04-23,,17.920000000000016,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,2022-04-23,,18.69999999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,2022-04-24,,10.819999999999993,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,2022-04-24,,6.569999999999993,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,2022-04-25,,12.310000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,2022-04-25,,18.819999999999993,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,2022-04-26,,17.54000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,2022-04-26,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,2022-04-27,,16.329999999999984,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,2022-04-27,,17.930000000000007,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,2022-04-28,,-1.839999999999975,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,2022-04-28,,14.230000000000018,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,2022-04-29,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,2022-04-29,,-3,"{""type"":""MultiPoint"",""coordinates"":[]}"
